,0
2012-06-26,-187474.72037234658
2012-06-27,13352.837228385442
2012-06-28,7694.0436138490395
2012-06-29,-178770.99375601864
2012-07-02,194832.084823779
2012-07-03,85431.93687757751
2012-07-04,209318.7620428417
2012-07-05,2571.3025090361302
2012-07-06,590.4220471572042
2012-07-09,95034.3372955374
2012-07-10,-223434.8526746559
2012-07-11,-487323.06512484833
2012-07-12,71950.60274074842
2012-07-13,313266.7306581254
2012-07-16,-13253.46270236778
2012-07-17,-364064.89189356327
2012-07-18,245679.45241160571
2012-07-19,149540.31146753905
2012-07-20,1850.7134244131764
2012-07-23,-67028.40235896496
2012-07-24,-156530.16271153794
2012-07-25,56846.44783188292
2012-07-26,-180019.75174883625
2012-07-27,21027.023066604943
2012-07-30,-123776.2020080076
2012-07-31,-326185.0053302597
2012-08-01,-20443.047724779375
2012-08-02,222196.21528632304
2012-08-03,23068.825433812493
2012-08-06,46704.514774701725
2012-08-07,183559.95516156746
2012-08-08,50082.03818219053
2012-08-09,120113.89396086003
2012-08-10,43321.246766273274
2012-08-13,49617.589065531654
2012-08-14,-261757.4680405027
2012-08-15,66287.28901383551
2012-08-16,30112.234827159733
2012-08-17,-85278.01471130938
2012-08-20,73564.9660097875
2012-08-21,96669.35015226064
2012-08-22,83859.68289812552
2012-08-23,87549.1322215251
2012-08-24,38671.975285450506
2012-08-27,-154343.439457979
2012-08-28,-129895.59470291385
2012-08-29,67473.11939640634
2012-08-30,-75532.22939914008
2012-08-31,48815.528581422404
2012-09-03,44494.57056739478
2012-09-04,112834.99889980527
2012-09-05,-94009.8789499066
2012-09-06,23173.907338296714
2012-09-07,98928.08295621737
2012-09-10,237957.16376889433
2012-09-11,13186.633736273732
2012-09-12,33977.42122049079
2012-09-13,-74835.44595518279
2012-09-14,-103625.19922382227
2012-09-17,-75114.10381362331
2012-09-18,-272227.9429038409
2012-09-19,105291.07761496997
2012-09-20,14507.470783647495
2012-09-21,-195568.44940397042
2012-09-24,-17833.292834662523
2012-09-25,70766.14257433104
2012-09-26,-56564.78377225258
2012-09-27,-144704.5353107688
2012-09-28,206334.84743704574
2012-10-08,187049.4700469236
2012-10-09,-141350.87250727773
2012-10-10,100531.11539495618
2012-10-11,7324.7010978175085
2012-10-12,-110845.11782506372
2012-10-15,-11289.719794842755
2012-10-16,2210.337884824939
2012-10-17,-76091.88746937447
2012-10-18,-24745.76201446053
2012-10-19,144802.82328720606
2012-10-22,34393.71990490053
2012-10-23,97200.93987900825
2012-10-24,-86320.76849088605
2012-10-25,113524.32609813493
2012-10-26,-50963.62043518261
2012-10-29,-226827.1719846473
2012-10-30,-7514.651140232453
2012-10-31,57771.78800568008
2012-11-01,-9234.44344654345
2012-11-02,358805.85178663343
2012-11-05,-16308.251988939608
2012-11-06,-78732.14950773987
2012-11-07,1861.2920573406457
2012-11-08,-105806.20242435976
2012-11-09,-129951.52485658442
2012-11-12,69101.89408632732
2012-11-13,110885.46070945532
2012-11-14,-227466.22240556197
2012-11-15,-67558.8949463337
2012-11-16,-210953.25236084717
2012-11-19,-190516.20410842606
2012-11-20,108449.72466665236
2012-11-21,5563.746739340799
2012-11-22,112838.34436829794
2012-11-23,26152.336121336888
2012-11-26,2123.1472996042444
2012-11-27,-98266.91795939406
2012-11-28,-319510.73599847045
2012-11-29,-177548.96239169085
2012-11-30,-103452.22557887036
2012-12-03,176024.80918470278
2012-12-04,-90171.29717338849
2012-12-05,101045.08716654408
2012-12-06,356089.9859187386
2012-12-07,61120.72185044758
2012-12-10,263119.2075482235
2012-12-11,99769.32186657513
2012-12-12,75302.91705289637
2012-12-13,26742.92936065359
2012-12-14,-98116.13468930789
2012-12-17,482238.5400494499
2012-12-18,-83301.36225842545
2012-12-19,-83613.16264839964
2012-12-20,144616.25784357573
2012-12-21,-10022.919011696122
