,000001.SZ,000002.SZ,000004.SZ,000005.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000010.SZ
2016-03-25,10.6,24.43,36.83,7.92,8.6,23.79,10.55,13.1,8.63
2016-03-28,10.65,24.43,36.83,7.89,8.51,23.79,11.25,13.69,8.93
2016-03-29,10.52,24.43,36.83,7.7,8.35,23.79,11.25,13.64,8.53
2016-03-30,10.7,24.43,36.83,7.78,8.35,23.79,11.1,13.94,8.46
2016-03-31,10.75,24.43,36.83,7.78,8.43,23.79,11.38,14.08,8.49
2016-04-01,10.69,24.43,36.83,7.67,8.34,23.79,10.89,13.67,8.4
2016-04-05,10.81,24.43,36.83,7.99,8.47,23.79,10.91,14.74,8.54
2016-04-06,10.75,24.43,36.83,8.13,8.62,23.79,11.06,15.1,8.57
2016-04-07,10.73,24.43,36.83,8.1,8.7,23.79,10.92,15.44,8.55
2016-04-08,10.67,24.43,36.83,8.08,8.38,23.79,10.76,14.67,8.35
2016-04-11,10.8,24.43,36.83,8.28,8.48,23.79,10.78,14.81,8.39
2016-04-12,10.71,24.43,36.83,7.99,8.33,23.79,10.63,14.56,8.33
2016-04-13,10.97,24.43,36.83,8.06,8.41,23.79,10.86,14.88,8.33
2016-04-14,10.9,24.43,36.83,7.98,8.46,23.79,10.93,14.79,8.54
2016-04-15,10.94,24.43,36.83,8.0,8.62,23.79,10.91,14.73,8.88
2016-04-18,10.85,24.43,36.83,7.86,8.46,23.79,10.85,14.21,8.66
2016-04-19,10.81,24.43,36.83,7.87,8.75,23.79,10.89,14.77,8.86
2016-04-20,10.78,24.43,36.83,7.84,8.58,23.79,10.85,14.7,8.93
2016-04-21,10.63,24.43,36.83,7.42,8.7,23.79,10.53,14.33,8.93
2016-04-22,10.62,24.43,36.83,7.3,8.29,23.79,10.44,13.87,9.7
2016-04-25,10.56,24.43,36.83,7.28,8.13,23.79,10.4,13.75,8.86
2016-04-26,10.6,24.43,36.83,7.27,8.15,23.79,10.75,13.76,9.34
2016-04-27,10.61,24.43,36.83,7.32,8.16,23.79,10.94,14.11,9.3
2016-04-28,10.76,24.43,36.83,7.26,8.13,23.79,10.84,14.26,9.16
2016-04-29,10.64,24.43,36.83,7.18,8.04,23.79,10.79,13.97,9.08
2016-05-03,10.72,24.43,36.83,7.35,8.09,23.79,10.9,14.17,9.23
2016-05-04,10.75,24.43,36.83,7.48,8.14,23.79,10.99,14.16,9.29
2016-05-05,10.72,24.43,36.83,7.39,8.11,23.79,11.04,14.12,9.55
2016-05-06,10.73,24.43,36.83,7.37,8.12,23.79,11.07,14.06,9.48
2016-05-09,10.53,24.43,36.83,7.04,7.8,23.79,10.72,13.07,9.62
2016-05-10,10.37,24.43,36.83,6.79,7.49,23.79,10.69,12.66,8.87
2016-05-11,10.44,24.43,36.83,6.8,7.6,23.79,10.93,12.57,8.6
2016-05-12,10.4,24.43,36.83,6.65,7.33,23.79,11.45,12.45,8.06
2016-05-13,10.4,24.43,36.83,7.23,7.44,23.79,11.78,12.52,8.22
2016-05-16,10.36,24.43,36.83,7.05,7.36,23.79,11.75,12.73,8.16
2016-05-17,10.37,24.43,36.83,7.23,7.43,23.79,11.73,12.85,8.24
2016-05-18,10.32,24.43,36.83,6.91,7.4,23.79,11.2,12.52,8.15
2016-05-19,10.32,24.43,36.83,6.87,7.28,23.79,11.22,12.42,7.85
2016-05-20,10.33,24.43,36.83,6.85,7.27,23.79,11.06,12.27,7.63
2016-05-23,10.34,24.43,36.83,6.95,7.39,23.79,11.55,12.53,7.73
2016-05-24,10.28,24.43,36.83,6.87,7.4,23.79,11.69,12.91,7.65
2016-05-25,10.28,24.43,36.83,6.9,7.37,23.79,11.65,12.65,7.67
2016-05-26,10.27,24.43,36.83,6.8,7.26,23.79,11.54,12.43,7.6
2016-05-27,10.29,24.43,36.83,6.91,7.53,23.79,11.5,12.72,7.66
2016-05-30,10.28,24.43,36.83,6.78,7.27,23.79,11.66,12.42,7.48
2016-05-31,10.57,24.43,36.83,6.97,7.39,23.79,11.6,12.85,7.74
2016-06-01,10.55,24.43,36.83,7.16,7.47,23.79,11.63,13.35,7.98
2016-06-02,10.48,24.43,36.83,7.14,7.54,23.79,11.61,13.48,7.83
2016-06-03,10.52,24.43,36.83,7.28,7.58,23.79,11.64,13.59,7.88
2016-06-06,10.53,24.43,36.83,7.15,7.57,23.79,11.85,13.36,7.96
2016-06-07,10.53,24.43,36.83,7.28,7.51,23.79,12.25,13.48,7.87
2016-06-08,10.54,24.43,36.83,7.17,7.43,23.79,12.49,13.62,7.89
2016-06-13,10.47,24.43,36.83,7.01,7.34,23.79,12.1,13.35,7.66
2016-06-14,10.41,24.43,36.83,7.39,7.09,23.79,11.77,12.57,7.46
2016-06-15,10.48,24.43,36.83,8.13,7.26,23.79,12.16,13.45,7.64
2016-06-16,8.6,24.43,36.83,8.08,7.22,23.79,12.2,13.86,7.72
2016-06-17,8.61,24.43,36.83,7.96,7.39,23.79,12.1,13.92,7.93
2016-06-20,8.6,24.43,36.83,7.87,7.19,23.79,12.08,13.96,7.68
2016-06-21,8.65,24.43,36.83,7.89,7.26,23.79,11.42,14.25,7.62
2016-06-22,8.73,24.43,36.83,7.69,7.35,23.79,10.48,14.07,7.53
2016-06-23,8.7,24.43,36.83,7.78,7.39,23.79,10.53,13.99,7.57
2016-06-24,8.7,24.43,36.83,7.63,7.45,23.79,10.43,13.74,7.58
2016-06-27,8.64,24.43,36.83,7.72,7.42,23.79,10.24,13.72,7.53
2016-06-28,8.64,24.43,36.83,7.78,7.54,23.79,10.36,13.7,7.9
2016-06-29,8.69,24.43,36.83,7.77,7.56,23.79,10.87,13.88,7.94
2016-06-30,8.74,24.43,36.83,7.66,7.44,23.79,10.98,13.85,7.91
2016-07-01,8.73,24.43,36.83,7.6,7.44,23.79,10.93,13.81,7.88
2016-07-04,8.86,21.99,36.83,7.62,7.48,23.79,10.96,13.84,7.93
2016-07-05,8.83,19.79,36.83,7.64,7.58,23.79,10.9,14.09,7.86
2016-07-06,8.82,20.78,36.83,7.71,7.98,23.79,10.84,13.9,7.95
2016-07-07,8.8,19.22,36.83,7.61,7.64,23.79,10.85,14.5,7.92
2016-07-08,8.79,18.98,36.83,7.58,7.62,23.79,10.73,14.18,7.95
2016-07-11,8.79,18.69,36.83,7.57,7.62,23.79,10.79,14.26,8.01
2016-07-12,8.89,18.43,36.83,7.54,7.59,23.79,10.82,14.33,7.87
2016-07-13,9.05,18.49,36.83,7.63,7.73,23.79,10.86,14.43,7.88
2016-07-14,9.0,18.18,36.83,8.0,7.75,23.79,10.86,14.41,7.94
2016-07-15,9.0,18.05,36.83,7.95,7.74,21.41,10.79,14.34,7.93
2016-07-18,9.08,17.84,36.83,7.77,7.64,19.27,10.75,14.6,7.88
2016-07-19,9.05,17.39,36.83,7.7,7.68,18.78,10.61,14.44,7.86
2016-07-20,8.99,17.42,36.83,7.94,7.72,18.35,10.61,14.86,8.43
2016-07-21,9.01,17.19,36.83,7.78,7.82,18.05,10.85,10.8,8.2
2016-07-22,8.99,17.59,36.83,7.67,7.7,17.7,10.75,11.28,8.19
2016-07-25,8.98,17.79,36.83,7.61,7.67,17.54,10.61,11.88,8.12
2016-07-26,9.12,17.83,36.83,7.61,7.67,17.54,10.52,11.53,8.15
2016-07-27,9.17,17.83,36.83,7.63,7.74,17.57,10.4,11.31,8.19
2016-07-28,9.11,17.93,36.83,7.26,7.48,16.42,10.17,10.6,7.79
2016-07-29,9.24,17.35,36.83,7.22,7.55,17.55,10.09,10.33,7.93
2016-08-01,9.34,17.29,36.83,7.19,7.37,19.31,10.0,10.23,7.68
2016-08-02,9.26,17.7,36.83,7.15,7.38,18.92,9.98,10.15,7.53
2016-08-03,9.22,17.97,36.83,7.34,8.11,19.43,9.78,10.44,7.59
2016-08-04,9.18,19.67,36.83,7.28,8.43,19.35,9.9,10.45,7.64
2016-08-05,9.07,21.63,36.83,7.27,8.38,18.56,10.0,10.53,7.6
2016-08-08,9.11,22.95,36.83,7.33,8.56,18.39,10.04,10.29,7.57
2016-08-09,9.15,22.29,36.83,7.31,8.45,18.2,10.06,10.89,7.63
2016-08-10,9.18,21.88,36.83,7.32,8.32,18.98,10.39,10.74,7.65
2016-08-11,9.35,21.37,36.83,7.32,8.32,18.48,10.2,10.95,7.59
2016-08-12,9.53,22.78,36.83,7.32,8.36,18.47,9.65,10.76,7.54
